id,Latitude,Longitude,Date,Year,Spec,Status
FC2022-2,43.64083,69.42673,5/6/2022,2022,Falco cherrug,Living nest
FC2022-3,43.633854,69.446734,5/6/2022,2022,Falco cherrug,Living nest
FC2022-4,43.991459,67.590346,5/16/2022,2022,Falco cherrug,Living nest
FC-KZ621-4,43.650797,70.142666,5/3/2022,2022,Falco cherrug,Living nest
NP-KZ21-2,43.13711,69.54887,7/16/2022,2022,Falco cherrug,Living nest
NP-KZ42-1 (NP11),43.48982,68.8502,5/9/2022,2022,Falco cherrug,Living nest
FC-KZ604-2,43.79841,68.12057,5/11/2022,2022,Falco cherrug,Occupied bt
NP-FC-perch,43.394336,69.131158,7/25/2022,2022,Falco cherrug,Occupied bt
FC,42.788108,69.791721,7/22/2022,2022,Falco cherrug,Occupied bt
BR-KZ302-1 (BR-34),44.54649,67.41213,4/25/2005,2010,Falco cherrug,Living nest
FC-KZ595-2 (FC03B),43.442301,68.981953,4/14/2010,2010,Falco cherrug,Living nest
FC-KZ597-1 (FC05),43.440812,68.951872,4/15/2010,2010,Falco cherrug,Living nest
FC-KZ599-1 (FC07),43.48388,69.00952,4/15/2010,2010,Falco cherrug,Living nest
FC-KZ601-1 (FC09),43.631715,68.921317,4/16/2010,2010,Falco cherrug,Living nest
FC-KZ602-1 (FC10),43.45888,68.82368,4/16/2010,2010,Falco cherrug,Living nest
FC-KZ605-1 (FC13),43.875373,67.939054,4/18/2010,2010,Falco cherrug,Living nest
FC-KZ607-1 (FC14),43.867118,67.908442,4/19/2010,2010,Falco cherrug,Living nest
FC-KZ608-1 (FC15),43.849618,67.884054,4/19/2010,2010,Falco cherrug,Living nest
FC-KZ609-1 (FC-GF),43.96095,68.24459,4/19/2010,2010,Falco cherrug,Living nest
FC-KZ617-1 (FC19),43.720415,68.873736,4/22/2010,2010,Falco cherrug,Living nest
FC-KZ623-1 (FC22),43.53088,70.57034,4/23/2010,2010,Falco cherrug,Living nest
FC2022-4(2),43.937372,67.675548,5/15/2022,2010,Falco cherrug,Occupied bt
AC-KZ231-2 (AC13B),43.41133,69.00175,7/26/2022,2010,Falco cherrug,Occupied bt
FC-OLD1,42.882645,70.805578,4/28/2022,2010,Falco cherrug,Occupied bt
FC-KZ267-1,44.62478,67.29142,4/24/2005,2010,Falco cherrug,Occupied bt
FC-KZ269,44.389895,67.629002,4/25/2005,2010,Falco cherrug,Occupied bt
FC-KZ593-1 (FC01),43.14479,69.93433,4/10/2010,2010,Falco cherrug,Occupied bt
FC-KZ596-1 (FC04),43.460746,69.002589,4/15/2010,2010,Falco cherrug,Occupied bt
FC-KZ600 (FC08),43.531067,68.931506,4/15/2010,2010,Falco cherrug,Occupied bt
FC-KZ603-2 (FC11B),43.484561,68.70658,4/17/2010,2010,Falco cherrug,Occupied bt
FC-KZ606 (FC-X),43.91878,68.07116,4/18/2010,2010,Falco cherrug,Occupied bt
FC-KZ610 (FC-X2),44.19782,67.87775,4/20/2010,2010,Falco cherrug,Occupied bt
FC-KZ611 (FC16),44.229527,67.859603,4/20/2010,2010,Falco cherrug,Occupied bt
FC-KZ612 (FC17B),44.08937,68.13902,4/20/2010,2010,Falco cherrug,Occupied bt
FC-KZ614 (FC-X3),43.984373,68.261957,4/21/2010,2010,Falco cherrug,Occupied bt
FC-KZ615 (FC-X4),43.67851,68.87573,4/21/2010,2010,Falco cherrug,Occupied bt
FC-KZ616,43.760563,68.806651,4/21/2010,2010,Falco cherrug,Occupied bt
FC-KZ618,43.695414,68.775583,4/22/2010,2010,Falco cherrug,Occupied bt
FC-KZ619,43.752656,68.835,4/22/2010,2010,Falco cherrug,Occupied bt
FC-KZ620,43.741625,68.853089,4/22/2010,2010,Falco cherrug,Occupied bt
FC-KZ622-1 (FC21),43.5413,70.59732,4/23/2010,2010,Falco cherrug,Occupied bt
FC-KZ632 (FC),43.76086,69.48163,4/22/2010,2010,Falco cherrug,Occupied bt
FC-KZ594-1 (FC02),43.09461,69.92176,4/10/2010,2010,Falco cherrug,Old nest
FC-KZ598-1 (FC06),43.452222,68.917423,4/15/2010,2010,Falco cherrug,Old nest
FC-KZ613-1 (FC18A),44.083767,68.163508,4/21/2010,2010,Falco cherrug,Old nest
FC-KZ624-1 (FC23A),43.42278,70.64481,4/23/2010,2010,Falco cherrug,Old nest
