id,Descriptio,Longitude,Latitude
X37,5/8/2009,52.1759,44.16159
X63,4/19/2021,52.12085,44.24146
X146,7/13/2015,54.43117,42.77956
X9,5/3/2012,54.6108,42.9462
X8,4/27/2011,54.86598,43.09372
X147,5/20/2015,54.86799,43.18888
X6,4/25/2011,54.71019,43.2209
X7,4/25/2011,54.62184,43.27074
X139,5/26/2009,54.0815,43.58952
X140,5/25/2009,53.29265,43.51766
X50,4/28/2008,53.60154,43.56381
X26,9/2/2015,53.6164,43.30659
X98,5/1/2012,54.03578,42.81888
X39,6/2/2012,53.51227,42.72505
X4,5/2/2008,53.14261,42.125
X148,5/11/2012,52.97365,42.77767
X141,5/17/2009,52.61016,42.82681
X2,5/15/2007,52.71248,42.99132
X83,4/20/2005,51.69815,43.63039
X143,6/13/2019,51.38744,44.25396
X144,9/5/2018,51.50957,44.38519
RRRCN32,4/18/2004,53.9687,43.0791
RRRCN33,4/20/2003,52.1727,44.2964
RRRCN34,4/23/2004,52.1052,43.9463
RRRCN35,5/1/2004,51.4021,44.5018
RRRCN36,5/5/2004,51.5224,44.4778
RRRCN42,4/18/2003,52.0721,44.2555
RRRCN54,4/15/2004,53.4219,43.3348
RRRCN66,4/15/2004,53.5019,43.3184
RRRCN72,4/15/2004,53.54,43.315
RRRCN73,4/16/2004,53.7982,43.3118
RRRCN74,4/16/2004,53.7663,43.3396
RRRCN75,4/16/2004,53.7573,43.3477
RRRCN76,4/17/2004,53.7845,43.3808
RRRCN77,4/18/2004,53.9766,43.1359
